DATE,STORAGE,
2016-10-01,"14,202",
2016-10-03,"14,177",
2016-10-04,"14,164",
2016-10-06,"14,145",
2016-10-07,"14,133",
2016-10-08,"14,120",
2016-10-09,"14,114",
2016-10-10,"14,101",
2016-10-11,"14,095",
2016-10-12,"14,070",
2016-10-13,"14,070",
2016-10-14,"14,057",
2016-10-15,"14,057",
2016-10-16,"14,089",
2016-10-17,"14,101",
2016-10-18,"14,107",
2016-10-19,"14,114",
2016-10-20,"14,107",
2016-10-21,"14,101",
2016-10-22,"14,089",
2016-10-23,"14,070",
2016-10-24,"14,076",
2016-10-25,"14,089",
2016-10-26,"14,095",
2016-10-27,"14,101",
2016-10-28,"14,158",
2016-10-30,"14,202",
2016-11-01,"14,267",
2016-11-02,"14,287",
2016-11-03,"14,299",
2016-11-04,"14,325",
2016-11-05,"14,345",
2016-11-06,"14,371",
2016-11-07,"14,384",
2016-11-08,"14,384",
2016-11-09,"14,371",
2016-11-10,"14,390",
2016-11-11,"14,397",
2016-11-12,"14,403",
2016-11-13,"14,403",
2016-11-14,"14,403",
2016-11-15,"14,403",
2016-11-16,"14,410",
2016-11-17,"14,410",
2016-11-18,"14,410",
2016-11-19,"14,423",
2016-11-20,"14,410",
2016-11-21,"14,455",
2016-11-22,"14,474",
2016-11-23,"14,507",
2016-11-24,"14,520",
2016-11-25,"14,546",
2016-11-26,"14,572",
2016-11-27,"14,637",
2016-11-28,"14,675",
2016-11-29,"14,695",
2016-11-30,"14,727",
2016-12-01,"14,766",
2016-12-02,"14,792",
2016-12-03,"14,838",
2016-12-04,"14,871",
2016-12-05,"14,904",
2016-12-06,"14,931",
2016-12-07,"14,965",
2016-12-08,"14,991",
2016-12-09,"15,032",
2016-12-10,"15,072",
2016-12-11,"15,105",
2016-12-12,"15,132",
2016-12-13,"15,172",
2016-12-14,"15,205",
2016-12-15,"15,239",
2016-12-16,"15,299",
2016-12-17,"15,339",
2016-12-19,"15,393",
2016-12-20,"15,413",
2016-12-21,"15,446",
2016-12-22,"15,473",
2016-12-23,"15,520",
2016-12-24,"15,617",
2016-12-25,"15,651",
2016-12-26,"15,679",
2016-12-27,"15,706",
2016-12-28,"15,747",
2016-12-29,"15,789",
2016-12-30,"15,830",
2016-12-31,"15,858",
2017-01-01,"15,906",
2017-01-02,"15,947",
2017-01-03,"15,981",
2017-01-04,"16,016",
2017-01-05,"16,078",
2017-01-06,"16,126",
