DATE,STORAGE
2016-09-30,"232,001"
2016-10-01,"230,133"
2016-10-02,"228,237"
2016-10-03,"226,349"
2016-10-04,"227,118"
2016-10-05,"228,127"
2016-10-06,"228,365"
2016-10-07,"228,568"
2016-10-08,"228,917"
2016-10-09,"227,246"
2016-10-10,"227,319"
2016-10-11,"228,439"
2016-10-12,"229,359"
2016-10-13,"230,724"
2016-10-14,"232,187"
2016-10-15,"231,871"
2016-10-16,"230,226"
2016-10-17,"231,002"
2016-10-18,"233,003"
2016-10-19,"234,715"
2016-10-20,"236,210"
2016-10-21,"237,409"
2016-10-22,"237,540"
2016-10-23,"235,873"
2016-10-24,"234,287"
2016-10-25,"232,557"
2016-10-26,"230,835"
2016-10-27,"231,575"
2016-10-28,"230,595"
2016-10-29,"229,193"
2016-10-30,"227,448"
2016-10-31,"226,239"
2016-11-01,"227,099"
2016-11-02,"229,046"
2016-11-03,"228,531"
2016-11-04,"226,953"
2016-11-05,"225,819"
2016-11-06,"223,996"
2016-11-07,"226,330"
2016-11-08,"231,649"
2016-11-09,"230,928"
2016-11-10,"229,175"
2016-11-11,"227,448"
2016-11-12,"226,221"
2016-11-13,"226,166"
2016-11-14,"225,453"
2016-11-15,"224,178"
2016-11-16,"222,614"
2016-11-17,"221,417"
2016-11-18,"220,169"
2016-11-19,"219,123"
2016-11-20,"217,397"
2016-11-21,"216,072"
2016-11-22,"214,840"
2016-11-23,"213,185"
2016-11-24,"211,767"
2016-11-25,"210,583"
2016-11-26,"209,737"
2016-11-27,"207,892"
2016-11-28,"206,702"
2016-11-29,"205,394"
2016-11-30,"204,195"
2016-12-01,"202,740"
2016-12-02,"201,118"
2016-12-03,"200,172"
2016-12-04,"199,041"
2016-12-05,"197,537"
2016-12-06,"196,040"
2016-12-07,"193,553"
2016-12-08,"192,813"
2016-12-09,"191,252"
2016-12-10,"189,748"
2016-12-11,"188,052"
2016-12-12,"186,711"
2016-12-13,"185,244"
2016-12-14,"183,882"
2016-12-15,"182,363"
2016-12-16,"181,500"
2016-12-17,"180,235"
2016-12-18,"179,020"
2016-12-19,"177,568"
2016-12-20,"176,588"
2016-12-21,"175,162"
2016-12-22,"174,347"
2016-12-23,"173,710"
2016-12-24,"172,994"
2016-12-25,"172,122"
2016-12-26,"170,998"
2016-12-27,"172,709"
2016-12-28,"176,411"
2016-12-29,"179,732"
2016-12-30,"182,200"
2016-12-31,"183,407"
2017-01-01,"182,819"
2017-01-02,"184,702"
2017-01-03,"187,671"
2017-01-04,"189,965"
2017-01-05,"192,342"
2017-01-06,"194,803"
2017-01-07,"196,601"
2017-01-08,"195,633"
2017-01-09,"197,435"
2017-01-10,"200,327"
2017-01-11,"203,432"
2017-01-12,"206,772"
2017-01-13,"210,230"
2017-01-14,"212,901"
2017-01-15,"212,528"
2017-01-16,"213,825"
2017-01-17,"216,788"
2017-01-18,"219,862"
2017-01-19,"222,815"
2017-01-20,"226,367"
2017-01-21,"228,696"
2017-01-22,"231,501"
2017-01-23,"234,529"
2017-01-24,"238,047"
2017-01-25,"241,840"
2017-01-26,"245,723"
2017-01-27,"249,427"
2017-01-28,"253,161"
2017-01-29,"255,478"
2017-01-30,"257,238"
2017-01-31,"260,207"
2017-02-01,"263,551"
2017-02-02,"267,278"
2017-02-03,"271,434"
2017-02-04,"275,197"
2017-02-05,"277,989"
2017-02-06,"280,550"
2017-02-07,"282,981"
2017-02-08,"285,631"
2017-02-09,"288,317"
2017-02-10,"291,228"
2017-02-11,"293,776"
2017-02-12,"295,532"
2017-02-13,"297,463"
2017-02-14,"299,040"
2017-02-15,"300,065"
2017-02-16,"300,749"
2017-02-17,"302,787"
2017-02-18,"303,475"
2017-02-19,"302,099"
2017-02-20,"300,728"
2017-02-21,"301,306"
2017-02-22,"302,636"
2017-02-23,"303,109"
2017-02-24,"302,679"
2017-02-25,"302,207"
2017-02-26,"301,992"
2017-02-27,"301,370"
2017-02-28,"300,899"
2017-03-01,"300,471"
2017-03-02,"299,894"
2017-03-03,"299,402"
2017-03-04,"298,976"
2017-03-05,"298,315"
2017-03-06,"297,825"
2017-03-07,"297,357"
2017-03-08,"298,677"
2017-03-09,"300,150"
2017-03-10,"299,466"
2017-03-11,"298,677"
2017-03-12,"297,995"
2017-03-13,"299,018"
2017-03-14,"300,385"
2017-03-15,"301,649"
2017-03-16,"301,992"
2017-03-17,"301,177"
2017-03-18,"300,385"
2017-03-19,"299,723"
2017-03-20,"299,061"
2017-03-21,"299,637"
2017-03-22,"299,851"
2017-03-23,"299,466"
2017-03-24,"299,232"
2017-03-25,"298,762"
2017-03-26,"299,381"
2017-03-27,"300,065"
2017-03-28,"300,172"
2017-03-29,"300,043"
2017-03-30,"300,172"
2017-03-31,"300,065"
2017-04-01,"300,043"
2017-04-02,"299,915"
2017-04-03,"299,530"
2017-04-04,"299,317"
2017-04-05,"300,129"
2017-04-06,"300,792"
2017-04-07,"299,872"
2017-04-08,"298,890"
2017-04-09,"298,208"
2017-04-10,"297,336"
2017-04-11,"296,528"
2017-04-12,"297,144"
2017-04-13,"298,144"
2017-04-14,"298,102"
2017-04-15,"297,166"
2017-04-16,"296,274"
2017-04-17,"295,277"
2017-04-18,"294,262"
2017-04-19,"294,706"
2017-04-20,"296,741"
2017-04-21,"297,868"
2017-04-22,"297,548"
2017-04-23,"296,507"
2017-04-24,"296,762"
2017-04-25,"297,974"
2017-04-26,"299,146"
2017-04-27,"300,300"
2017-04-28,"301,499"
2017-04-29,"301,413"
2017-04-30,"300,706"
2017-05-01,"300,878"
2017-05-02,"302,593"
2017-05-03,"303,970"
2017-05-04,"304,983"
2017-05-05,"305,783"
2017-05-06,"305,307"
2017-05-07,"304,746"
2017-05-08,"305,675"
2017-05-09,"307,038"
2017-05-10,"308,340"
2017-05-11,"309,253"
2017-05-12,"309,993"
