DATE,STORAGE
2016-10-01,"1,614,234"
2016-10-02,"1,609,428"
2016-10-03,"1,606,440"
2016-10-04,"1,601,830"
2016-10-05,"1,595,609"
2016-10-06,"1,590,392"
2016-10-07,"1,585,367"
2016-10-08,"1,580,084"
2016-10-09,"1,574,904"
2016-10-10,"1,569,824"
2016-10-11,"1,564,489"
2016-10-12,"1,559,521"
2016-10-13,"1,553,946"
2016-10-14,"1,553,238"
2016-10-15,"1,551,825"
2016-10-16,"1,552,443"
2016-10-17,"1,551,825"
2016-10-18,"1,554,387"
2016-10-19,"1,554,034"
2016-10-20,"1,556,687"
2016-10-21,"1,556,952"
2016-10-22,"1,554,476"
2016-10-23,"1,552,620"
2016-10-24,"1,548,648"
2016-10-25,"1,555,095"
2016-10-26,"1,553,504"
2016-10-27,"1,550,678"
2016-10-28,"1,550,148"
2016-10-29,"1,555,095"
2016-10-30,"1,556,333"
2016-10-31,"1,559,166"
2016-11-01,"1,563,068"
2016-11-02,"1,564,222"
2016-11-03,"1,562,802"
2016-11-04,"1,559,698"
2016-11-05,"1,556,510"
2016-11-06,"1,553,504"
2016-11-07,"1,551,207"
2016-11-08,"1,547,855"
2016-11-09,"1,544,332"
2016-11-10,"1,540,902"
2016-11-11,"1,537,215"
2016-11-12,"1,533,534"
2016-11-13,"1,529,771"
2016-11-14,"1,525,230"
2016-11-15,"1,521,568"
2016-11-16,"1,517,478"
2016-11-17,"1,511,561"
2016-11-18,"1,505,758"
2016-11-19,"1,504,548"
2016-11-20,"1,502,734"
2016-11-21,"1,504,807"
2016-11-22,"1,501,783"
2016-11-23,"1,500,661"
2016-11-24,"1,499,195"
2016-11-25,"1,495,232"
2016-11-26,"1,492,996"
2016-11-27,"1,492,136"
2016-11-28,"1,491,105"
2016-11-29,"1,488,530"
2016-11-30,"1,485,786"
2016-12-01,"1,481,848"
2016-12-02,"1,478,088"
2016-12-03,"1,474,675"
2016-12-04,"1,472,290"
2016-12-05,"1,468,462"
2016-12-06,"1,466,338"
2016-12-07,"1,463,453"
2016-12-08,"1,461,673"
2016-12-09,"1,469,397"
2016-12-10,"1,541,429"
2016-12-11,"1,576,599"
2016-12-12,"1,591,740"
2016-12-13,"1,601,740"
2016-12-14,"1,618,141"
2016-12-15,"1,717,810"
2016-12-16,"1,807,624"
2016-12-17,"1,843,351"
2016-12-18,"1,864,970"
2016-12-19,"1,881,604"
2016-12-20,"1,895,293"
2016-12-21,"1,907,420"
2016-12-22,"1,918,167"
2016-12-23,"1,929,679"
2016-12-24,"1,939,276"
2016-12-25,"1,947,559"
2016-12-26,"1,954,204"
2016-12-27,"1,959,927"
2016-12-28,"1,965,558"
2016-12-29,"1,971,201"
2016-12-30,"1,976,332"
2016-12-31,"1,981,577"
2017-01-01,"1,986,306"
2017-01-02,"1,991,359"
2017-01-03,"1,999,590"
2017-01-04,"2,021,342"
2017-01-05,"2,041,008"
2017-01-06,"2,055,416"
2017-01-07,"2,074,450"
2017-01-08,"2,254,644"
2017-01-09,"2,433,696"
2017-01-10,"2,607,254"
2017-01-11,"2,738,549"
2017-01-12,"2,799,374"
2017-01-13,"2,825,960"
2017-01-14,"2,830,409"
2017-01-15,"2,826,365"
2017-01-16,"2,818,423"
2017-01-17,"2,806,473"
2017-01-18,"2,803,792"
2017-01-19,"2,815,869"
2017-01-20,"2,830,813"
2017-01-21,"2,845,543"
2017-01-22,"2,864,404"
2017-01-23,"2,876,663"
2017-01-24,"2,882,123"
2017-01-25,"2,880,894"
2017-01-26,"2,880,894"
2017-01-27,"2,878,300"
2017-01-28,"2,873,800"
2017-01-29,"2,867,670"
2017-01-30,"2,859,103"
2017-01-31,"2,841,754"
2017-02-01,"2,818,827"
2017-02-02,"2,796,832"
2017-02-03,"2,785,613"
2017-02-04,"2,797,635"
2017-02-05,"2,799,641"
2017-02-06,"2,819,768"
2017-02-07,"2,976,908"
2017-02-08,"3,155,684"
2017-02-09,"3,396,134"
2017-02-10,"3,528,727"
2017-02-11,"3,578,367"
2017-02-12,"3,533,936"
2017-02-13,"3,408,430"
2017-02-14,"3,266,396"
2017-02-15,"3,117,546"
2017-02-16,"2,991,747"
2017-02-17,"2,899,096"
2017-02-18,"2,852,724"
2017-02-19,"2,810,364"
2017-02-20,"2,812,914"
2017-02-21,"2,846,490"
2017-02-22,"2,837,428"
2017-02-23,"2,809,290"
2017-02-24,"2,773,894"
2017-02-25,"2,728,152"
2017-02-26,"2,674,233"
2017-02-27,"2,666,977"
2017-02-28,"2,706,003"
2017-03-01,"2,741,581"
2017-03-02,"2,775,224"
2017-03-03,"2,805,535"
2017-03-04,"2,836,077"
2017-03-05,"2,870,665"
2017-03-06,"2,896,354"
2017-03-07,"2,920,964"
2017-03-08,"2,936,574"
2017-03-09,"2,945,165"
2017-03-10,"2,949,883"
2017-03-11,"2,955,858"
2017-03-12,"2,961,981"
2017-03-13,"2,969,089"
2017-03-14,"2,977,327"
2017-03-15,"2,985,861"
2017-03-16,"2,996,658"
2017-03-17,"2,973,415"
2017-03-18,"2,914,625"
2017-03-19,"2,861,685"
