DATE,STORAGE
2016-10-01,"510,872"
2016-10-02,"515,372"
2016-10-03,"515,293"
2016-10-04,"514,582"
2016-10-05,"513,949"
2016-10-06,"513,397"
2016-10-07,"514,423"
2016-10-08,"514,661"
2016-10-09,"519,252"
2016-10-10,"519,252"
2016-10-11,"518,618"
2016-10-12,"515,767"
2016-10-13,"512,765"
2016-10-14,"511,976"
2016-10-15,"511,266"
2016-10-16,"510,636"
2016-10-17,"509,848"
2016-10-18,"509,060"
2016-10-19,"508,274"
2016-10-20,"507,409"
2016-10-21,"506,623"
2016-10-22,"508,903"
2016-10-23,"517,192"
2016-10-24,"524,655"
2016-10-25,"532,958"
2016-10-26,"542,195"
2016-10-27,"551,411"
2016-10-28,"561,746"
2016-10-29,"570,755"
2016-10-30,"579,487"
2016-10-31,"589,681"
2016-11-01,"599,356"
2016-11-02,"612,545"
2016-11-03,"625,500"
2016-11-04,"638,300"
2016-11-05,"650,851"
2016-11-06,"664,015"
2016-11-07,"676,665"
2016-11-08,"689,580"
2016-11-09,"702,232"
2016-11-10,"711,041"
2016-11-11,"718,905"
2016-11-12,"726,712"
2016-11-13,"729,141"
2016-11-14,"731,303"
2016-11-15,"732,295"
2016-11-16,"731,754"
2016-11-17,"731,213"
2016-11-18,"730,582"
2016-11-19,"730,042"
2016-11-20,"733,738"
2016-11-21,"737,622"
2016-11-22,"742,239"
2016-11-23,"755,210"
2016-11-24,"768,447"
2016-11-25,"781,671"
2016-11-26,"797,659"
2016-11-27,"814,972"
2016-11-28,"832,223"
2016-11-29,"849,691"
2016-11-30,"866,804"
2016-12-01,"883,841"
2016-12-02,"900,893"
2016-12-03,"917,860"
2016-12-04,"934,640"
2016-12-05,"951,423"
2016-12-06,"963,853"
2016-12-07,"976,238"
2016-12-08,"988,576"
2016-12-09,"1,000,664"
2016-12-10,"1,012,701"
2016-12-11,"1,029,128"
2016-12-12,"1,045,336"
2016-12-13,"1,061,526"
2016-12-14,"1,077,592"
2016-12-15,"1,094,150"
2016-12-16,"1,110,168"
2016-12-17,"1,123,348"
2016-12-18,"1,135,536"
2016-12-19,"1,143,894"
2016-12-20,"1,155,838"
2016-12-21,"1,164,033"
2016-12-22,"1,171,825"
2016-12-23,"1,180,585"
2016-12-24,"1,189,153"
2016-12-25,"1,196,787"
2016-12-26,"1,208,053"
2016-12-27,"1,216,578"
2016-12-28,"1,226,619"
2016-12-29,"1,234,114"
2016-12-30,"1,241,752"
2016-12-31,"1,249,284"
2017-01-01,"1,259,314"
2017-01-02,"1,266,881"
2017-01-03,"1,275,005"
2017-01-04,"1,283,146"
2017-01-05,"1,290,869"
2017-01-06,"1,304,284"
2017-01-07,"1,320,158"
2017-01-08,"1,337,529"
2017-01-09,"1,353,094"
2017-01-10,"1,371,164"
2017-01-11,"1,386,413"
2017-01-12,"1,401,047"
2017-01-13,"1,414,947"
2017-01-14,"1,430,245"
2017-01-15,"1,446,956"
2017-01-16,"1,463,392"
2017-01-17,"1,480,803"
2017-01-18,"1,496,567"
2017-01-19,"1,514,914"
2017-01-20,"1,532,876"
2017-01-21,"1,549,173"
2017-01-22,"1,567,505"
2017-01-23,"1,586,027"
2017-01-24,"1,602,748"
2017-01-25,"1,618,236"
2017-01-26,"1,633,540"
2017-01-27,"1,646,055"
2017-01-28,"1,658,128"
2017-01-29,"1,674,986"
2017-01-30,"1,686,775"
2017-01-31,"1,699,786"
2017-02-01,"1,713,192"
2017-02-02,"1,725,793"
2017-02-03,"1,738,907"
2017-02-04,"1,750,485"
2017-02-05,"1,763,543"
2017-02-06,"1,776,270"
2017-02-07,"1,793,410"
2017-02-08,"1,807,066"
2017-02-09,"1,818,799"
2017-02-10,"1,829,455"
2017-02-11,"1,842,467"
2017-02-12,"1,855,141"
2017-02-13,"1,868,093"
2017-02-14,"1,882,066"
2017-02-15,"1,895,827"
2017-02-16,"1,907,756"
2017-02-17,"1,915,350"
2017-02-18,"1,922,081"
2017-02-19,"1,928,695"
2017-02-20,"1,937,943"
2017-02-21,"1,946,204"
2017-02-22,"1,952,973"
2017-02-23,"1,959,373"
2017-02-24,"1,965,780"
2017-02-25,"1,972,194"
2017-02-26,"1,978,490"
2017-02-27,"1,984,793"
2017-02-28,"1,991,481"
2017-03-01,"1,997,672"
2017-03-02,"2,003,996"
2017-03-03,"2,010,200"
2017-03-04,"2,013,875"
2017-03-05,"2,017,045"
2017-03-06,"2,019,836"
2017-03-07,"2,022,501"
2017-03-08,"2,025,295"
2017-03-09,"2,027,835"
2017-03-10,"2,027,835"
2017-03-11,"2,027,835"
2017-03-12,"2,027,835"
2017-03-13,"2,027,835"
2017-03-14,"2,027,581"
2017-03-15,"2,027,073"
2017-03-16,"2,026,565"
2017-03-17,"2,026,184"
2017-03-18,"2,025,676"
2017-03-19,"2,025,168"
2017-03-20,"2,024,787"
2017-03-21,"2,024,406"
2017-03-22,"2,020,216"
2017-03-23,"2,016,030"
2017-03-24,"2,011,213"
2017-03-25,"2,011,213"
2017-03-26,"2,010,833"
2017-03-27,"2,010,326"
2017-03-28,"2,009,946"
2017-03-29,"2,011,847"
2017-03-30,"2,014,762"
2017-03-31,"2,014,762"
2017-04-01,"2,014,509"
2017-04-02,"2,014,255"
2017-04-03,"2,013,748"
2017-04-04,"2,013,241"
2017-04-05,"2,011,847"
2017-04-06,"2,006,907"
2017-04-07,"2,003,489"
2017-04-08,"1,999,062"
2017-04-09,"1,994,639"
2017-04-10,"1,990,724"
2017-04-11,"1,984,667"
2017-04-12,"1,980,506"
2017-04-13,"1,975,845"
2017-04-14,"1,971,565"
2017-04-15,"1,969,552"
2017-04-16,"1,969,049"
2017-04-17,"1,971,565"
2017-04-18,"1,974,460"
2017-04-19,"1,977,356"
2017-04-20,"1,980,254"
2017-04-21,"1,983,027"
2017-04-22,"1,983,027"
2017-04-23,"1,982,649"
2017-04-24,"1,982,145"
2017-04-25,"1,984,288"
2017-04-26,"1,987,063"
2017-04-27,"1,989,587"
2017-04-28,"1,993,123"
2017-04-29,"1,995,650"
2017-04-30,"1,998,304"
2017-05-01,"2,001,086"
2017-05-02,"2,003,743"
2017-05-03,"1,998,557"
2017-05-04,"1,994,007"
2017-05-05,"1,996,913"
2017-05-06,"1,999,568"
2017-05-07,"2,002,477"
2017-05-08,"2,005,514"
2017-05-09,"2,006,274"
2017-05-10,"2,009,186"
2017-05-11,"2,013,494"
2017-05-12,"2,016,537"
2017-05-13,"2,019,201"
2017-05-14,"2,023,771"
2017-05-15,"2,024,025"
2017-05-16,"2,023,771"
2017-05-17,"2,020,597"
2017-05-18,"2,011,340"
2017-05-19,"2,005,388"
2017-05-20,"1,999,189"
2017-05-21,"1,994,765"
2017-05-22,"1,988,451"
2017-05-23,"1,980,506"
2017-05-24,"1,969,175"
2017-05-25,"1,961,131"
2017-05-26,"1,949,212"
2017-05-27,"1,936,942"
2017-05-28,"1,931,443"
2017-05-29,"1,925,449"
2017-05-30,"1,914,478"
2017-05-31,"1,909,871"
2017-06-01,"1,911,116"
2017-06-02,"1,913,855"
2017-06-03,"1,916,595"
2017-06-04,"1,917,717"
2017-06-05,"1,919,088"
2017-06-06,"1,924,950"
2017-06-07,"1,931,193"
2017-06-08,"1,934,942"
2017-06-09,"1,937,818"
2017-06-10,"1,940,195"
2017-06-11,"1,945,954"
2017-06-12,"1,948,585"
2017-06-13,"1,953,475"
2017-06-14,"1,955,984"
2017-06-15,"1,958,619"
2017-06-16,"1,961,131"
2017-06-17,"1,964,020"
2017-06-18,"1,970,181"
2017-06-19,"1,973,327"
2017-06-20,"1,976,475"
2017-06-21,"1,979,120"
2017-06-22,"1,981,514"
2017-06-23,"1,981,767"
2017-06-24,"1,981,010"
2017-06-25,"1,982,775"
2017-06-26,"1,984,288"
2017-06-27,"1,987,316"
2017-06-28,"1,988,325"
2017-06-29,"1,992,618"
2017-06-30,"1,997,166"
2017-07-01,"1,999,568"
2017-07-02,"2,002,477"
2017-07-03,"2,007,160"
2017-07-04,"2,009,566"
2017-07-05,"2,012,100"
2017-07-06,"2,007,034"
2017-07-07,"1,996,534"
2017-07-08,"1,987,190"
2017-07-09,"1,989,461"
2017-07-10,"1,993,881"
2017-07-11,"1,992,618"
2017-07-12,"1,991,229"
2017-07-13,"1,985,423"
2017-07-14,"1,984,414"
2017-07-15,"1,980,632"
2017-07-16,"1,976,349"
2017-07-17,"1,980,506"
2017-07-18,"1,977,608"
2017-07-19,"1,975,089"
2017-07-20,"1,969,175"
2017-07-21,"1,963,392"
2017-07-22,"1,962,638"
2017-07-23,"1,961,508"
2017-07-24,"1,956,360"
2017-07-25,"1,949,964"
2017-07-26,"1,943,950"
2017-07-27,"1,936,067"
2017-07-28,"1,930,069"
2017-07-29,"1,925,075"
2017-07-30,"1,926,572"
2017-07-31,"1,924,576"
2017-08-01,"1,918,963"
2017-08-02,"1,915,100"
2017-08-03,"1,908,005"
2017-08-04,"1,901,539"
2017-08-05,"1,895,578"
2017-08-06,"1,891,980"
2017-08-07,"1,891,856"
2017-08-08,"1,890,988"
2017-08-09,"1,892,848"
2017-08-10,"1,890,740"
2017-08-11,"1,890,368"
2017-08-12,"1,889,128"
2017-08-13,"1,888,260"
2017-08-14,"1,885,905"
2017-08-15,"1,881,570"
2017-08-16,"1,880,704"
2017-08-17,"1,876,868"
2017-08-18,"1,871,057"
2017-08-19,"1,866,117"
2017-08-20,"1,865,623"
2017-08-21,"1,863,032"
2017-08-22,"1,859,208"
2017-08-23,"1,856,989"
2017-08-24,"1,853,663"
2017-08-25,"1,851,693"
2017-08-26,"1,849,723"
2017-08-27,"1,848,985"
2017-08-28,"1,846,893"
2017-08-29,"1,842,712"
2017-08-30,"1,840,746"
2017-08-31,"1,837,307"
2017-09-01,"1,834,116"
2017-09-02,"1,833,625"
2017-09-03,"1,830,190"
2017-09-04,"1,829,700"
2017-09-05,"1,827,248"
2017-09-06,"1,826,513"
2017-09-07,"1,824,185"
2017-09-08,"1,822,226"
2017-09-09,"1,820,390"
2017-09-10,"1,820,022"
2017-09-11,"1,819,166"
2017-09-12,"1,816,719"
2017-09-13,"1,814,029"
2017-09-14,"1,809,874"
2017-09-15,"1,807,798"
2017-09-16,"1,804,747"
2017-09-17,"1,801,209"
2017-09-18,"1,796,333"
2017-09-19,"1,791,341"
2017-09-20,"1,784,894"
2017-09-21,"1,776,755"
2017-09-22,"1,768,388"
2017-09-23,"1,763,301"
2017-09-24,"1,758,703"
2017-09-25,"1,754,593"
2017-09-26,"1,751,331"
2017-09-27,"1,748,312"
2017-09-28,"1,749,640"
2017-09-29,"1,749,037"
2017-09-30,"1,751,572"
2017-10-01,"1,754,713"
2017-10-02,"1,749,882"
2017-10-03,"1,737,100"
2017-10-04,"1,721,829"
2017-10-05,"1,707,322"
2017-10-06,"1,705,048"
2017-10-07,"1,702,775"
2017-10-08,"1,689,517"
2017-10-09,"1,679,389"
2017-10-10,"1,669,875"
2017-10-11,"1,662,159"
2017-10-12,"1,650,431"
2017-10-13,"1,635,309"
2017-10-14,"1,622,705"
2017-10-15,"1,613,068"
2017-10-16,"1,602,631"
2017-10-17,"1,595,140"
2017-10-18,"1,582,759"
2017-10-19,"1,571,925"
2017-10-20,"1,560,419"
2017-10-21,"1,552,996"
2017-10-22,"1,545,470"
2017-10-23,"1,539,573"
2017-10-24,"1,531,723"
2017-10-25,"1,523,080"
2017-10-26,"1,514,110"
2017-10-27,"1,511,583"
2017-10-28,"1,508,484"
2017-10-29,"1,507,107"
2017-10-30,"1,504,011"
2017-10-31,"1,501,948"
2017-11-01,"1,496,681"
2017-11-02,"1,489,934"
2017-11-03,"1,480,689"
2017-11-04,"1,476,244"
2017-11-05,"1,469,188"
2017-11-06,"1,461,916"
2017-11-07,"1,453,750"
2017-11-08,"1,447,748"
2017-11-09,"1,442,207"
2017-11-10,"1,435,545"
2017-11-11,"1,431,372"
2017-11-12,"1,427,654"
2017-11-13,"1,422,477"
2017-11-14,"1,417,193"
2017-11-15,"1,416,182"
2017-11-16,"1,416,070"
2017-11-17,"1,419,778"
2017-11-18,"1,425,852"
2017-11-19,"1,433,176"
2017-11-20,"1,440,399"
2017-11-21,"1,450,125"
2017-11-22,"1,459,760"
2017-11-23,"1,467,710"
2017-11-24,"1,475,561"
2017-11-25,"1,483,312"
2017-11-26,"1,489,363"
2017-11-27,"1,494,164"
2017-11-28,"1,501,376"
2017-11-29,"1,513,765"
2017-11-30,"1,522,160"
2017-12-01,"1,528,379"
2017-12-02,"1,533,453"
2017-12-03,"1,542,463"
2017-12-04,"1,548,826"
2017-12-05,"1,555,546"
2017-12-06,"1,562,044"
2017-12-07,"1,570,761"
2017-12-08,"1,577,048"
2017-12-09,"1,583,109"
2017-12-10,"1,590,698"
2017-12-11,"1,596,427"
2017-12-12,"1,600,991"
2017-12-13,"1,604,623"
2017-12-14,"1,608,140"
2017-12-15,"1,607,084"
2017-12-16,"1,606,733"
2017-12-17,"1,606,733"
2017-12-18,"1,608,374"
2017-12-19,"1,610,838"
2017-12-20,"1,611,894"
2017-12-21,"1,613,537"
2017-12-22,"1,612,481"
2017-12-23,"1,611,425"
2017-12-24,"1,613,537"
2017-12-25,"1,616,356"
2017-12-26,"1,617,061"
2017-12-27,"1,619,764"
2017-12-28,"1,623,410"
