DATE,STORAGE,,,,,,,,,,,,,,,
2016-10-01,"2,803,377",,,,,,,,,,,,,,,
2016-10-02,"2,795,819",,,,,,,,,,,,,,,
2016-10-03,"2,787,181",,,,,,,,,,,,,,,
2016-10-04,"2,778,149",,,,,,,,,,,,,,,
2016-10-05,"2,769,771",,,,,,,,,,,,,,,
2016-10-06,"2,760,766",,,,,,,,,,,,,,,
2016-10-07,"2,755,853",,,,,,,,,,,,,,,
2016-10-08,"2,746,881",,,,,,,,,,,,,,,
2016-10-09,"2,738,995",,,,,,,,,,,,,,,
2016-10-10,"2,731,133",,,,,,,,,,,,,,,
2016-10-11,"2,723,696",,,,,,,,,,,,,,,
2016-10-12,"2,716,497",,,,,,,,,,,,,,,
2016-10-13,"2,711,213",,,,,,,,,,,,,,,
2016-10-14,"2,711,847",,,,,,,,,,,,,,,
2016-10-15,"2,712,270",,,,,,,,,,,,,,,
2016-10-16,"2,711,213",,,,,,,,,,,,,,,
2016-10-17,"2,709,100",,,,,,,,,,,,,,,
2016-10-18,"2,704,662",,,,,,,,,,,,,,,
2016-10-19,"2,700,436",,,,,,,,,,,,,,,
2016-10-20,"2,695,599",,,,,,,,,,,,,,,
2016-10-21,"2,689,924",,,,,,,,,,,,,,,
2016-10-22,"2,680,676",,,,,,,,,,,,,,,
2016-10-23,"2,670,841",,,,,,,,,,,,,,,
2016-10-24,"2,665,824",,,,,,,,,,,,,,,
2016-10-25,"2,670,841",,,,,,,,,,,,,,,
2016-10-26,"2,676,694",,,,,,,,,,,,,,,
2016-10-27,"2,688,873",,,,,,,,,,,,,,,
2016-10-28,"2,697,701",,,,,,,,,,,,,,,
2016-10-29,"2,709,946",,,,,,,,,,,,,,,
2016-10-30,"2,738,783",,,,,,,,,,,,,,,
2016-10-31,"2,765,261",,,,,,,,,,,,,,,
2016-11-01,"2,783,948",,,,,,,,,,,,,,,
2016-11-02,"2,800,354",,,,,,,,,,,,,,,
2016-11-03,"2,805,320",,,,,,,,,,,,,,,
2016-11-04,"2,811,174",,,,,,,,,,,,,,,
2016-11-05,"2,812,911",,,,,,,,,,,,,,,
2016-11-06,"2,814,648",,,,,,,,,,,,,,,
2016-11-07,"2,817,254",,,,,,,,,,,,,,,
2016-11-08,"2,820,076",,,,,,,,,,,,,,,
2016-11-09,"2,822,248",,,,,,,,,,,,,,,
2016-11-10,"2,824,202",,,,,,,,,,,,,,,
2016-11-11,"2,824,419",,,,,,,,,,,,,,,
2016-11-12,"2,824,419",,,,,,,,,,,,,,,
2016-11-13,"2,823,550",,,,,,,,,,,,,,,
2016-11-14,"2,821,596",,,,,,,,,,,,,,,
2016-11-15,"2,819,425",,,,,,,,,,,,,,,
2016-11-16,"2,816,385",,,,,,,,,,,,,,,
2016-11-17,"2,813,780",,,,,,,,,,,,,,,
2016-11-18,"2,812,477",,,,,,,,,,,,,,,
2016-11-19,"2,821,379",,,,,,,,,,,,,,,
2016-11-20,"2,835,517",,,,,,,,,,,,,,,
2016-11-21,"2,844,887",,,,,,,,,,,,,,,
2016-11-22,"2,851,430",,,,,,,,,,,,,,,
2016-11-23,"2,858,880",,,,,,,,,,,,,,,
2016-11-24,"2,868,739",,,,,,,,,,,,,,,
2016-11-25,"2,876,869",,,,,,,,,,,,,,,
2016-11-26,"2,887,882",,,,,,,,,,,,,,,
2016-11-27,"2,896,484",,,,,,,,,,,,,,,
2016-11-28,"2,904,012",,,,,,,,,,,,,,,
2016-11-29,"2,906,447",,,,,,,,,,,,,,,
2016-11-30,"2,910,211",,,,,,,,,,,,,,,
2016-12-01,"2,912,868",,,,,,,,,,,,,,,
2016-12-02,"2,917,968",,,,,,,,,,,,,,,
2016-12-03,"2,920,862",,,,,,,,,,,,,,,
2016-12-04,"2,922,643",,,,,,,,,,,,,,,
