DATE,STORAGE
2016-10-01,"966,135"
2016-10-02,"964,308"
2016-10-03,"963,960"
2016-10-04,"963,440"
2016-10-05,"962,662"
2016-10-06,"961,884"
2016-10-07,"961,365"
2016-10-08,"960,760"
2016-10-09,"959,549"
2016-10-10,"957,474"
2016-10-11,"956,523"
2016-10-12,"955,659"
2016-10-13,"955,399"
2016-10-14,"956,783"
2016-10-15,"959,463"
2016-10-16,"961,711"
2016-10-17,"963,354"
2016-10-18,"964,308"
2016-10-19,"964,656"
2016-10-20,"965,265"
2016-10-21,"965,439"
2016-10-22,"965,526"
2016-10-23,"965,178"
2016-10-24,"966,396"
2016-10-25,"968,744"
2016-10-26,"975,461"
2016-10-27,"982,735"
2016-10-28,"987,666"
2016-10-29,"996,600"
2016-10-30,"1,018,683"
2016-10-31,"1,030,531"
2016-11-01,"1,037,993"
2016-11-02,"1,043,108"
2016-11-03,"1,046,502"
2016-11-04,"1,049,627"
2016-11-05,"1,052,016"
2016-11-06,"1,055,801"
2016-11-07,"1,058,483"
2016-11-08,"1,060,333"
2016-11-09,"1,062,183"
2016-11-10,"1,063,577"
2016-11-11,"1,064,694"
2016-11-12,"1,066,556"
2016-11-13,"1,067,766"
2016-11-14,"1,069,069"
2016-11-15,"1,070,745"
2016-11-16,"1,071,676"
2016-11-17,"1,072,237"
2016-11-18,"1,073,081"
2016-11-19,"1,076,079"
2016-11-20,"1,078,889"
2016-11-21,"1,081,515"
2016-11-22,"1,084,250"
2016-11-23,"1,087,455"
2016-11-24,"1,088,870"
2016-11-25,"1,091,231"
2016-11-26,"1,094,932"
2016-11-27,"1,097,779"
2016-11-28,"1,100,535"
2016-11-29,"1,102,158"
2016-11-30,"1,104,164"
2016-12-01,"1,105,787"
2016-12-02,"1,107,315"
2016-12-03,"1,109,034"
2016-12-04,"1,110,184"
2016-12-05,"1,111,337"
2016-12-06,"1,112,779"
2016-12-07,"1,113,932"
2016-12-08,"1,115,277"
2016-12-09,"1,117,584"
2016-12-10,"1,126,569"
2016-12-11,"1,132,005"
2016-12-12,"1,136,092"
2016-12-13,"1,140,190"
2016-12-14,"1,150,784"
2016-12-15,"1,192,888"
2016-12-16,"1,210,168"
2016-12-17,"1,219,804"
2016-12-18,"1,226,504"
2016-12-19,"1,231,986"
2016-12-20,"1,235,824"
